Strike,T1,T2,P1,P2,Calendar Difference,Arbitrage?
500.0,0.0,0.0027397260273972603,123.36,120.86,-2.5,True
510.0,0.0,0.0027397260273972603,115.76,112.16,-3.6000000000000085,True
555.0,0.0027397260273972603,0.010958904109589041,71.32,65.63,-5.689999999999998,True
565.0,0.0,0.0027397260273972603,60.78,57.3,-3.480000000000004,True
570.0,0.0027397260273972603,0.010958904109589041,54.14,51.84,-2.299999999999997,True
585.0,0.0027397260273972603,0.010958904109589041,40.22,39.9,-0.3200000000000003,True
587.0,0.0027397260273972603,0.010958904109589041,36.48,33.91,-2.5700000000000003,True
590.0,0.0,0.0027397260273972603,35.77,35.02,-0.75,True
590.0,0.0027397260273972603,0.010958904109589041,35.02,34.07,-0.9500000000000028,True
595.0,0.0027397260273972603,0.010958904109589041,29.97,28.43,-1.5399999999999991,True
596.0,0.0027397260273972603,0.010958904109589041,29.0,28.76,-0.23999999999999844,True
597.0,0.0027397260273972603,0.010958904109589041,27.31,26.47,-0.8399999999999999,True
598.0,0.0027397260273972603,0.010958904109589041,26.19,25.48,-0.7100000000000009,True
600.0,0.0027397260273972603,0.010958904109589041,25.2,24.53,-0.6699999999999982,True
603.0,0.0027397260273972603,0.010958904109589041,20.43,19.95,-0.4800000000000004,True
604.0,0.0027397260273972603,0.010958904109589041,21.04,16.99,-4.050000000000001,True
605.0,0.0,0.0027397260273972603,19.16,18.81,-0.3500000000000014,True
606.0,0.0027397260273972603,0.010958904109589041,19.0,18.13,-0.870000000000001,True
607.0,0.0027397260273972603,0.010958904109589041,18.08,17.18,-0.8999999999999986,True
608.0,0.0027397260273972603,0.010958904109589041,16.94,16.17,-0.7699999999999996,True
609.0,0.0027397260273972603,0.010958904109589041,16.23,14.65,-1.58,True
610.0,0.0027397260273972603,0.010958904109589041,15.31,13.73,-1.58,True
611.0,0.0027397260273972603,0.010958904109589041,13.53,12.94,-0.5899999999999999,True
612.0,0.0027397260273972603,0.010958904109589041,12.96,11.77,-1.1900000000000013,True
613.0,0.0027397260273972603,0.010958904109589041,12.11,10.95,-1.1600000000000001,True
614.0,0.0027397260273972603,0.010958904109589041,11.29,10.54,-0.75,True
670.0,0.0,0.0027397260273972603,0.02,0.01,-0.01,True
500.0,0.0,0.0027397260273972603,123.36,120.86,-2.5,True
510.0,0.0,0.0027397260273972603,115.76,112.16,-3.6000000000000085,True
555.0,0.0027397260273972603,0.010958904109589041,71.32,65.63,-5.689999999999998,True
565.0,0.0,0.0027397260273972603,60.78,57.3,-3.480000000000004,True
570.0,0.0027397260273972603,0.010958904109589041,54.14,51.84,-2.299999999999997,True
585.0,0.0027397260273972603,0.010958904109589041,40.22,39.9,-0.3200000000000003,True
587.0,0.0027397260273972603,0.010958904109589041,36.48,33.91,-2.5700000000000003,True
590.0,0.0,0.0027397260273972603,35.77,35.02,-0.75,True
590.0,0.0027397260273972603,0.010958904109589041,35.02,34.07,-0.9500000000000028,True
595.0,0.0027397260273972603,0.010958904109589041,29.97,28.43,-1.5399999999999991,True
596.0,0.0027397260273972603,0.010958904109589041,29.0,28.76,-0.23999999999999844,True
597.0,0.0027397260273972603,0.010958904109589041,27.31,26.47,-0.8399999999999999,True
598.0,0.0027397260273972603,0.010958904109589041,26.19,25.48,-0.7100000000000009,True
600.0,0.0027397260273972603,0.010958904109589041,25.2,24.53,-0.6699999999999982,True
603.0,0.0027397260273972603,0.010958904109589041,20.43,19.95,-0.4800000000000004,True
604.0,0.0027397260273972603,0.010958904109589041,21.04,16.99,-4.050000000000001,True
605.0,0.0,0.0027397260273972603,19.16,18.81,-0.3500000000000014,True
606.0,0.0027397260273972603,0.010958904109589041,19.0,18.13,-0.870000000000001,True
607.0,0.0027397260273972603,0.010958904109589041,18.08,17.18,-0.8999999999999986,True
608.0,0.0027397260273972603,0.010958904109589041,16.94,16.17,-0.7699999999999996,True
609.0,0.0027397260273972603,0.010958904109589041,16.23,14.65,-1.58,True
610.0,0.0027397260273972603,0.010958904109589041,15.31,13.73,-1.58,True
611.0,0.0027397260273972603,0.010958904109589041,13.53,12.94,-0.5899999999999999,True
612.0,0.0027397260273972603,0.010958904109589041,12.96,11.77,-1.1900000000000013,True
613.0,0.0027397260273972603,0.010958904109589041,12.11,10.95,-1.1600000000000001,True
614.0,0.0027397260273972603,0.010958904109589041,11.29,10.54,-0.75,True
670.0,0.0,0.0027397260273972603,0.02,0.01,-0.01,True
