,Strike,Expiry,CallPrice,PutPrice,ParityDiff
176,555.0,0.010958904109589041,65.63,65.63,70.68403116937372
177,570.0,0.010958904109589041,51.84,51.84,55.69224809603759
178,580.0,0.010958904109589041,44.6,44.6,45.69772604714683
179,585.0,0.010958904109589041,39.9,39.9,40.70046502270134
180,587.0,0.010958904109589041,33.91,33.91,38.70156061292323
181,590.0,0.010958904109589041,34.07,34.07,35.70320399825596
182,592.0,0.010958904109589041,32.03,32.03,33.70429958847785
183,595.0,0.010958904109589041,28.43,28.43,30.70594297381058
184,596.0,0.010958904109589041,28.76,28.76,29.706490768921526
185,597.0,0.010958904109589041,26.47,26.47,28.707038564032473
186,598.0,0.010958904109589041,25.48,25.48,27.70758635914342
187,599.0,0.010958904109589041,25.5,25.5,26.708134154254253
188,600.0,0.010958904109589041,24.53,24.53,25.7086819493652
189,601.0,0.010958904109589041,23.54,23.54,24.709229744476147
190,602.0,0.010958904109589041,22.52,22.52,23.709777539587094
191,603.0,0.010958904109589041,19.95,19.95,22.710325334697927
192,604.0,0.010958904109589041,16.99,16.99,21.710873129808874
193,605.0,0.010958904109589041,19.29,19.29,20.71142092491982
194,606.0,0.010958904109589041,18.13,18.13,19.711968720030768
195,607.0,0.010958904109589041,17.18,17.18,18.7125165151416
196,608.0,0.010958904109589041,16.17,16.17,17.71306431025255
197,609.0,0.010958904109589041,14.65,14.65,16.713612105363495
198,610.0,0.010958904109589041,13.73,13.73,15.714159900474442
199,611.0,0.010958904109589041,12.94,12.94,14.714707695585389
200,612.0,0.010958904109589041,11.77,11.77,13.715255490696222
201,613.0,0.010958904109589041,10.95,10.95,12.71580328580717
202,614.0,0.010958904109589041,10.54,10.54,11.716351080918116
203,615.0,0.010958904109589041,10.5,10.5,10.716898876029063
204,616.0,0.010958904109589041,9.31,9.31,9.717446671139896
205,617.0,0.010958904109589041,8.45,8.45,8.717994466250843
206,618.0,0.010958904109589041,7.81,7.81,7.71854226136179
207,619.0,0.010958904109589041,7.0,7.0,6.719090056472737
208,620.0,0.010958904109589041,6.02,6.02,5.719637851583684
209,621.0,0.010958904109589041,5.27,5.27,4.720185646694517
210,622.0,0.010958904109589041,4.45,4.45,3.7207334418054643
211,623.0,0.010958904109589041,3.72,3.72,2.721281236916411
212,624.0,0.010958904109589041,2.99,2.99,1.7218290320273582
213,627.0,0.010958904109589041,1.51,1.51,1.2765275826399147
214,628.0,0.010958904109589041,1.13,1.13,2.275979787528968
215,629.0,0.010958904109589041,0.82,0.82,3.2754319924181345
216,630.0,0.010958904109589041,0.57,0.57,4.274884197307188
